Model;Parameter;Address;Conversion;ReadWrite;ByteLength;DefaultValue;Unit;Stepping;DataType;ValuePrecision;LowerBorder;UpperBorder;Values;Descriptions
VBC700_BW_WW;WPR_Geraeteklasse~0x00F7;0x00F7;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;SystemIdent_SX~0x00F8;0x00F8;NoConversion;R;1;;;NULL;VarChar;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_GeraetevariantenErkennung~0x00F9;0x00F9;NoConversion;R;1;;;NULL;Binary;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Hardware_Index~0x00FA;0x00FA;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Software_Index~0x00FB;0x00FB;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Protokollversion_LDAP~0x00FC;0x00FC;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Protokollversion_RDAP~0x00FD;0x00FD;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Software_Version_Byte1~0x00FE;0x00FE;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Software_Version_Byte2~0x00FF;0x00FF;NoConversion;R;1;;;NULL;Int;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Aussentemperatur~0x0101;0x0101;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Verdampfertemperatur~0x0102;0x0102;Div100;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_Primaerquelle~0x0103;0x0103;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Ruecklauftemperatur_Primaerquelle~0x0104;0x0104;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_Sek~0x0105;0x0105;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Ruecklauftemperatur_Sek1~0x0106;0x0106;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Ruecklauftemperatur_Sek2~0x0107;0x0107;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Heissgastemperatur1~0x0108;0x0108;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Heissgastemperatur2~0x0109;0x0109;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Anlagenvorlauftemperatur~0x010A;0x010A;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_HeizwasserPufferspeicher_Temperatur~0x010B;0x010B;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Mediumtemperatur_extWaermeerzeuger~0x010C;0x010C;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Warmwasser_TemperaturOben~0x010D;0x010D;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Warmwasser_TemperaturUnten~0x010E;0x010E;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Warmwasser_TemperaturMitte~0x010F;0x010F;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Warmwasser_TemperaturAusgang~0x0110;0x0110;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Kollektortemperatur_Solar~0x0111;0x0111;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Ruecklauftemperatur_Solar~0x0112;0x0112;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Speichertemperatur_SolarmodulVitosolic~0x0113;0x0113;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_HK_M2~0x0114;0x0114;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_HK_M3~0x0115;0x0115;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumtemperatur_HK_A1_Vitotrol~0x0116;0x0116;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumtemperatur_HK_M2_Vitotrol~0x0117;0x0117;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumtemperatur_HK_M3_Vitotrol~0x0118;0x0118;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_NatCoolingKreis~0x0119;0x0119;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Vorlauftemperatur_NatCoolingHKxx~0x011A;0x011A;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumtemperatur_NatCooling~0x011B;0x011B;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumsolltemperatur_HK_A1_Vitocom100~0x011C;0x011C;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumsolltemperatur_HK_M2_Vitocom100~0x011D;0x011D;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Raumsolltemperatur_HK_M3_Vitocom100~0x011E;0x011E;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Sauggastemperatur_EEV1~0x011F;0x011F;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Sauggastemperatur_EEV2~0x0120;0x0120;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Heissgastemperatur_EEV1~0x0121;0x0121;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
VBC700_BW_WW;WPR_Heissgastemperatur_EEV2~0x0122;0x0122;Div10;R;2;;ecnUnit.Grad C;NULL;Float;NULL;NULL;NULL;NULL;
